0,M50MHur,M55MHur,M60MHur,MShortHur,MLongHur,MSteeple.,M1500mWalk,MMileWalk,M3kmWalk,M5kmWalk,M8kmWalk,M10kmWalk,M15kmWalk,M20kmWalk,MH.Mar.Walk,M25kmWalk,M30kmWalk,M40kmWalk,MMar.Walk,M50kmWalk,MHighJump,MPoleVault,MLongJump,MTripleJump,MHammer,MShotput,MDiscus,MJavelin,MWeight,M50m,M55m,M60m,M100m,M200m,M300m,M400m,M500m,M600m,M800m,M1000m,M1500m,Mmile,M2km,M3km,M2Mile,M4km,M3Mile,M5km,M6km,M4Mile,M8km,M5Mile,M10km
Event,50Hur,55Hur,60Hur,ShortHur,LongHur,Steeple,1500mWalk,1MileWalk,3kmWalk,5kmWalk,8kmWalk,10kmWalk,15kmWalk,20kmWalk,H.Mar.Walk,25kmWalk,30kmWalk,40kmWalk,Mar.Walk,50kmWalk,HighJump,PoleVault,LongJump,TripleJump,Hammer,Shotput,Discus,Javelin,Weight,50m,55m,60m,100m,200m,300m,400m,500m,600m,800m,1000m,1500m,1Mile,2km,3km,2Mile,4km,3Mile,5km,6km,4Mile,8km,5Mile,10km
isRoad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dist(km),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.055,0.06,0.1,0.2,0.3,0.4,0.5,0.6,0.8,1,1.5,1.609344,2,3,3.218688,4,4.828032,5,6,6.437376,8,8.04672,10
OC,6.25,6.76,7.3,12.91,46.78,473.63,309,332.37,631.42,1077.59,1766,2231,3424,4641,4919,5931,7264,10038,10655,12929,2.45,6.14,8.95,18.29,86.74,23.12,74.08,98.48,25.86,5.54,5.97,6.39,9.79,19.32,30,43.18,57.66,72.15,101.11,130.5,205.8,222.6,283.2,440,474.6,598,730,757,919,990,1247,1255,1580
5,0,0,0,0,0,0,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0,0,0,0,0,0,0,0,0,0.5197,0.5255,0.5294,0.5344,0.5169,0.525,0.5331,0.5387,0.5443,0.5555,0.5623,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526
6,0,0,0,0,0,0,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0,0,0,0,0,0,0,0,0,0.6346,0.6399,0.6442,0.6441,0.6129,0.6137,0.6146,0.6159,0.6173,0.6199,0.6216,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899
7,0,0,0,0,0,0,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0,0,0,0,0,0,0,0,0,0.7066,0.7124,0.7164,0.7156,0.6812,0.6795,0.6777,0.6769,0.676,0.6743,0.6733,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725
8,0,0,0,0,0,0,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,1.956,0,2.199,0,0,0,0,0,0,0.7579,0.7634,0.768,0.7678,0.734,0.7315,0.7291,0.7272,0.7253,0.7214,0.719,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579
9,0,0,0,0,0,0,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,1.6554,0,1.8568,0,0,0,0,0,0,0.796,0.8024,0.8068,0.8078,0.7765,0.7746,0.7725,0.7701,0.7677,0.7628,0.7598,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886
10,0,0,0,0,0,0,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,1.4671,0,1.6332,0,0,0,0,0,0,0.8269,0.8338,0.8386,0.8403,0.8121,0.8108,0.8095,0.807,0.8045,0.7995,0.7964,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171
11,0,0,0,0,0,0,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,1.3316,0,1.4745,0,0,0,0,0,0,0.8523,0.859,0.8635,0.8671,0.8426,0.842,0.8416,0.8392,0.8368,0.832,0.8293,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434
12,0,0,0,0,0,0,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,1.2377,1.4619,1.3575,0,0,0,0,0,0,0.8738,0.8805,0.885,0.89,0.8687,0.8691,0.8695,0.8673,0.8652,0.8608,0.8586,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675
13,0,0,0,0,0,0,0.8864,0.8864,0.8864,0.8864,0.8864,0.8864,0.8864,0.8864,0.8864,0.8864,0.8864,0.8864,0.8864,0.8864,1.1666,1.3323,1.2701,1.2425,0,0,0,0,0,0.8921,0.8991,0.9038,0.909,0.892,0.8931,0.894,0.8922,0.8902,0.8864,0.8847,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894,0.8894
14,0.8039,0.8039,0.8039,0.8039,0.8692,1.3336,0.9061,0.9061,0.9061,0.9061,0.9061,0.9061,0.9061,0.9061,0.9061,0.9061,0.9061,0.9061,0.9061,0.9061,1.1182,1.2403,1.203,1.1799,1.6978,1.3528,1.4911,1.4743,1.3107,0.9067,0.9142,0.9194,0.9253,0.9126,0.9141,0.9156,0.9139,0.9123,0.9089,0.9079,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091
15,0.8493,0.8493,0.8494,0.8493,0.9083,1.3842,0.9236,0.9236,0.9236,0.9236,0.9236,0.9236,0.9236,0.9236,0.9236,0.9236,0.9236,0.9236,0.9236,0.9236,1.08,1.1732,1.1506,1.1325,1.4182,1.271,1.362,1.3339,1.2181,0.9218,0.9285,0.9328,0.9395,0.9311,0.9328,0.9344,0.933,0.9314,0.9286,0.9282,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266
16,0.8972,0.8972,0.8972,0.8972,0.9375,1.4235,0.9389,0.9389,0.9389,0.9389,0.9389,0.9389,0.9389,0.9389,0.9389,0.9389,0.9389,0.9389,0.9389,0.9389,1.0515,1.1234,1.1095,1.0965,1.2608,1.2035,1.2681,1.2316,1.1534,0.9327,0.9402,0.9453,0.9523,0.9475,0.9494,0.9511,0.9498,0.9485,0.9458,0.9459,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419,0.9419
17,0.9241,0.9241,0.9241,0.9241,0.9588,1.4444,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,1.0303,1.0863,1.0772,1.0692,1.1645,1.1468,1.1979,1.1555,1.1075,0.9438,0.9522,0.9552,0.9636,0.9626,0.964,0.9656,0.9644,0.9632,0.9607,0.961,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
18,0.9855,0.9855,0.9855,0.9855,0.9742,0.9818,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964,1.0147,1.0586,1.0517,1.0484,1.1027,1.0994,1.1448,1.0982,1.0744,0.9552,0.9614,0.9653,0.9732,0.9763,0.9772,0.9783,0.977,0.9758,0.9732,0.9739,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967
19,0.9993,0.9992,0.9992,0.9992,0.985,0.9929,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,1.0035,1.038,1.0318,1.0327,1.0625,1.0596,1.1044,1.0548,1.0508,0.9635,0.9707,0.9741,0.9819,0.9892,0.9891,0.989,0.9877,0.9865,0.9838,0.9846,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979
20,1,1,1,1,1,1,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,1,1.0149,1.0113,1.0218,1.0326,1.0185,1.0583,1.0258,1.0262,0.9719,0.9787,0.9816,0.9899,1,0.9993,0.9984,0.9969,0.9954,0.9925,0.9934,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893,0.9893
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0033,1,1.0105,1.0086,1,1.0289,1,1.0102,0.9805,0.9868,0.9892,0.9959,1,1,1,0.9998,0.9999,0.9996,1,0.9961,0.9962,0.9961,0.9962,0.9961,0.9961,0.9961,0.9961,0.9961,0.9961,0.9961,0.9961,0.9961
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9875,0.9933,0.9953,1,1,1,1,1,1,1,1,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,0.9996,0.9996,0.9997,0.9998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
29,1,1,1,1,1,1,0.9985,0.9985,0.9987,0.9991,0.9994,0.9996,0.9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9991,0.9991,0.999,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991
30,1.0153,1.0153,1.0153,1.0148,1,1,0.9968,0.9968,0.9972,0.9977,0.9983,0.9986,0.9994,0.9998,0.9999,1,1,1,1,1,1.0079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975
31,1.0055,1.0055,1.0055,1.0118,1,0.9999,0.9945,0.9945,0.995,0.9956,0.9965,0.997,0.9982,0.999,0.9992,0.9996,0.9999,1,1,1,1.0169,1.0076,1.0098,1.0025,1,1,1,1.0084,1.0049,1,1,1,1,0.9959,0.9983,1,1,1,1,1,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952,0.9952
32,0.9973,0.9973,0.9973,1.0088,0.9964,0.9897,0.9915,0.9916,0.9922,0.993,0.9941,0.9948,0.9964,0.9976,0.9979,0.9986,0.9993,1,1,1,1.0261,1.0152,1.0198,1.005,1,1,1,1.0169,1.0099,1,1,1,1,0.9879,0.9904,0.9929,1,1,1,1,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922,0.9922
33,0.9878,0.9878,0.9878,1.0059,0.9855,0.9798,0.9879,0.988,0.9887,0.9897,0.9911,0.992,0.994,0.9957,0.996,0.997,0.9981,0.9996,0.9997,1,1.0354,1.023,1.03,1.0076,1,1,1,1.0256,1.015,1,1,1,1,0.98,0.9826,0.9854,0.9935,1,1,1,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885
34,0.9799,0.9799,0.9799,1.0029,0.975,0.97,0.9837,0.9838,0.9846,0.9858,0.9875,0.9886,0.991,0.9931,0.9935,0.9949,0.9964,0.9986,0.9989,0.9997,1.0449,1.031,1.0404,1.0101,1,1,1,1.0344,1.0201,0.9982,0.9983,0.9976,0.9968,0.972,0.975,0.9778,0.9851,0.9926,1,1,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984
35,0.9707,0.9707,0.9707,0.9999,0.9647,0.9605,0.9788,0.9789,0.9799,0.9813,0.9833,0.9846,0.9874,0.99,0.9905,0.9922,0.9941,0.997,0.9976,0.9989,1.0546,1.039,1.051,1.0127,1,1,1,1.0434,1.0252,0.9893,0.99,0.9893,0.9893,0.9641,0.9671,0.9702,0.977,0.9836,0.9971,0.9925,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788
36,0.9631,0.9631,0.9631,0.9912,0.9545,0.9511,0.9734,0.9735,0.9746,0.9762,0.9785,0.9799,0.9832,0.9862,0.9868,0.9889,0.9912,0.995,0.9956,0.9976,1.0645,1.0515,1.0625,1.024,1.015,1.0053,1,1.0594,1.0383,0.9823,0.9819,0.9818,0.9823,0.9568,0.96,0.9632,0.9694,0.9755,0.9878,0.983,0.9729,0.9729,0.9729,0.9729,0.9729,0.9729,0.9729,0.9729,0.9729,0.9729,0.9729,0.9729,0.9729
37,0.9542,0.9542,0.9542,0.9824,0.9447,0.9419,0.9673,0.9674,0.9686,0.9704,0.973,0.9746,0.9785,0.9819,0.9826,0.985,0.9878,0.9923,0.9932,0.9958,1.0745,1.0643,1.0743,1.0357,1.0304,1.0107,1,1.0758,1.0518,0.9736,0.9739,0.9743,0.9754,0.9494,0.9527,0.9561,0.9616,0.9673,0.9785,0.9735,0.9662,0.9662,0.9662,0.9662,0.9662,0.9662,0.9662,0.9662,0.9662,0.9662,0.9662,0.9662,0.9662
38,0.9468,0.9468,0.9468,0.9737,0.9349,0.9329,0.9605,0.9606,0.9621,0.9641,0.9669,0.9688,0.9731,0.977,0.9778,0.9806,0.9838,0.9892,0.9902,0.9934,1.0848,1.0774,1.0863,1.0475,1.0464,1.0161,1,1.0928,1.0656,0.9668,0.966,0.9667,0.9684,0.9421,0.9455,0.9491,0.9542,0.9591,0.9691,0.964,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592
39,0.9383,0.9383,0.9383,0.9649,0.9254,0.9241,0.9532,0.9533,0.9549,0.9571,0.9602,0.9623,0.9671,0.9715,0.9724,0.9755,0.9792,0.9854,0.9866,0.9904,1.0952,1.0908,1.0986,1.0597,1.0628,1.0216,1,1.1102,1.0797,0.9585,0.9598,0.9592,0.9615,0.9347,0.9384,0.942,0.9465,0.9508,0.9598,0.9545,0.9521,0.9521,0.9521,0.9521,0.9521,0.9521,0.9521,0.9521,0.9521,0.9521,0.9521,0.9521,0.9521
40,0.9311,0.9311,0.9311,0.9562,0.9162,0.9154,0.9458,0.9459,0.9475,0.9497,0.953,0.9552,0.9605,0.9654,0.9664,0.9699,0.974,0.9812,0.9826,0.987,1.1059,1.1046,1.1112,1.0721,1.0798,1.0271,1,1.1283,1.0943,0.9519,0.9522,0.9517,0.9545,0.9274,0.9311,0.935,0.9389,0.9428,0.9505,0.945,0.9451,0.9451,0.9451,0.9451,0.9451,0.9451,0.9451,0.9451,0.9451,0.9451,0.9451,0.9451,0.9451
41,0.9229,0.9229,0.9229,0.9483,0.9069,0.9069,0.9384,0.9385,0.9401,0.9423,0.9456,0.9479,0.9533,0.9587,0.9598,0.9637,0.9683,0.9763,0.9779,0.983,1.1168,1.1187,1.1241,1.0848,1.0992,1.0432,1.0096,1.147,1.1093,0.9454,0.9446,0.9447,0.948,0.9206,0.9245,0.9285,0.932,0.9353,0.942,0.9364,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
42,0.9159,0.9159,0.9159,0.9404,0.8981,0.8986,0.931,0.9311,0.9327,0.9349,0.9383,0.9405,0.9461,0.9515,0.9527,0.9569,0.962,0.971,0.9727,0.9785,1.1278,1.1332,1.1373,1.0979,1.1194,1.0599,1.0194,1.1663,1.1246,0.9374,0.9372,0.9378,0.9415,0.9138,0.918,0.9219,0.9248,0.9277,0.9335,0.9278,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931
43,0.908,0.908,0.908,0.9326,0.8892,0.8904,0.9235,0.9237,0.9253,0.9275,0.931,0.9332,0.9388,0.9443,0.9455,0.9498,0.9551,0.965,0.967,0.9735,1.1391,1.1481,1.1507,1.1112,1.1403,1.077,1.0293,1.1862,1.1404,0.9311,0.9314,0.9308,0.935,0.9071,0.9113,0.9154,0.9179,0.9203,0.9251,0.9191,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924
44,0.9012,0.9012,0.9012,0.9247,0.8806,0.8823,0.9161,0.9162,0.9179,0.9202,0.9236,0.9259,0.9315,0.9371,0.9383,0.9426,0.948,0.9586,0.9607,0.9679,1.1506,1.1634,1.1646,1.1249,1.1621,1.0948,1.0396,1.2069,1.1567,0.9233,0.9241,0.9239,0.9285,0.9003,0.9047,0.9088,0.9108,0.9127,0.9166,0.9105,0.9169,0.9169,0.9169,0.9169,0.9169,0.9169,0.9169,0.9169,0.9169,0.9169,0.9169,0.9169,0.9169
45,0.8935,0.8935,0.8935,0.9168,0.8723,0.8744,0.9087,0.9088,0.9105,0.9128,0.9163,0.9186,0.9243,0.9299,0.9311,0.9354,0.9409,0.9516,0.9539,0.9618,1.1624,1.1791,1.1787,1.1389,1.1846,1.1131,1.0499,1.2283,1.1734,0.9172,0.9171,0.9169,0.922,0.8935,0.8979,0.9023,0.9038,0.9052,0.9081,0.9019,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099,0.9099
46,0.887,0.887,0.887,0.9096,0.8639,0.8666,0.9013,0.9014,0.9031,0.9054,0.9089,0.9112,0.917,0.9227,0.9239,0.9283,0.9338,0.9446,0.947,0.9552,1.1744,1.1952,1.1932,1.1533,1.208,1.136,1.0701,1.2505,1.1906,0.9097,0.9101,0.9104,0.9159,0.8872,0.8918,0.8962,0.8972,0.8983,0.9003,0.894,0.9028,0.9028,0.9028,0.9028,0.9028,0.9028,0.9028,0.9028,0.9028,0.9028,0.9028,0.9028,0.9028
47,0.8795,0.8795,0.8795,0.9024,0.8558,0.859,0.8939,0.894,0.8957,0.898,0.9016,0.9039,0.9097,0.9154,0.9167,0.9211,0.9267,0.9376,0.94,0.9483,1.1867,1.2118,1.208,1.168,1.2324,1.1598,1.091,1.2735,1.2082,0.9038,0.9045,0.904,0.9099,0.8809,0.8855,0.8901,0.8906,0.8914,0.8926,0.8861,0.8958,0.8958,0.8958,0.8958,0.8958,0.8958,0.8958,0.8958,0.8958,0.8958,0.8958,0.8958,0.8958
48,0.8732,0.8732,0.8732,0.8952,0.8478,0.8515,0.8865,0.8866,0.8883,0.8907,0.8942,0.8966,0.9024,0.9082,0.9095,0.9139,0.9196,0.9306,0.933,0.9414,1.1992,1.2288,1.2233,1.1831,1.2578,1.1846,1.1128,1.2973,1.2264,0.8979,0.8977,0.8975,0.9038,0.8745,0.8792,0.884,0.8842,0.8844,0.8848,0.8783,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888,0.8888
49,0.867,0.867,0.867,0.888,0.84,0.8442,0.879,0.8792,0.8809,0.8833,0.8869,0.8893,0.8952,0.901,0.9023,0.9068,0.9125,0.9236,0.926,0.9345,1.2119,1.2463,1.2389,1.1986,1.2843,1.2106,1.1355,1.322,1.2452,0.8907,0.891,0.8911,0.8978,0.8682,0.8731,0.8779,0.8778,0.8775,0.8771,0.8704,0.8817,0.8817,0.8817,0.8817,0.8817,0.8817,0.8817,0.8817,0.8817,0.8817,0.8817,0.8817,0.8817
50,0.866,0.866,0.866,0.9745,0.8052,0.8369,0.8716,0.8718,0.8735,0.8759,0.8795,0.8819,0.8879,0.8938,0.8951,0.8996,0.9053,0.9166,0.919,0.9276,1.225,1.2643,1.2549,1.2145,1.1656,1.1468,1,1.279,1.1123,0.885,0.8844,0.8846,0.8917,0.8619,0.8668,0.8718,0.8713,0.8706,0.8693,0.8625,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747
51,0.8619,0.8619,0.8619,0.9613,0.8032,0.8298,0.8642,0.8643,0.8661,0.8685,0.8722,0.8746,0.8806,0.8866,0.8879,0.8924,0.8982,0.9096,0.912,0.9207,1.2383,1.2828,1.2713,1.2308,1.19,1.1701,1.0183,1.3025,1.1306,0.878,0.8792,0.8786,0.886,0.856,0.8611,0.8661,0.8651,0.8642,0.8622,0.8553,0.8676,0.8676,0.8676,0.8676,0.8676,0.8676,0.8676,0.8676,0.8676,0.8676,0.8676,0.8676,0.8676
52,0.8578,0.8578,0.8578,0.9481,0.8014,0.8228,0.8568,0.8569,0.8587,0.8611,0.8648,0.8673,0.8734,0.8793,0.8807,0.8853,0.8911,0.9026,0.9051,0.9138,1.252,1.3019,1.2882,1.2476,1.2156,1.1944,1.0371,1.3269,1.1496,0.8724,0.8728,0.8725,0.8803,0.8501,0.8552,0.8604,0.8591,0.8577,0.855,0.8481,0.8606,0.8606,0.8606,0.8606,0.8606,0.8606,0.8606,0.8606,0.8606,0.8606,0.8606,0.8606,0.8606
53,0.8538,0.8538,0.8538,0.9349,0.7995,0.8159,0.8494,0.8495,0.8513,0.8538,0.8575,0.86,0.8661,0.8721,0.8734,0.8781,0.884,0.8956,0.8981,0.9069,1.2659,1.3216,1.3056,1.2649,1.2422,1.2198,1.0568,1.3522,1.1692,0.867,0.8665,0.8665,0.8747,0.8443,0.8496,0.8547,0.853,0.8513,0.8479,0.8408,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536
54,0.8498,0.8498,0.8498,0.9217,0.7976,0.8092,0.842,0.8421,0.8439,0.8464,0.8501,0.8526,0.8588,0.8649,0.8662,0.8709,0.8769,0.8886,0.8911,0.9,1.2801,1.3419,1.3234,1.2827,1.2701,1.2462,1.0772,1.3785,1.1895,0.8602,0.8602,0.8604,0.869,0.8384,0.8436,0.849,0.8469,0.8449,0.8407,0.8336,0.8465,0.8465,0.8465,0.8465,0.8465,0.8465,0.8465,0.8465,0.8465,0.8465,0.8465,0.8465,0.8465
