0,M50MHur,M55MHur,M60MHur,MShortHur,MLongHur,MSteeple.,M1500mWalk,MMileWalk,M3kmWalk,M5kmWalk,M8kmWalk,M10kmWalk,M15kmWalk,M20kmWalk,MH.Mar.Walk,M25kmWalk,M30kmWalk,M40kmWalk,MMar.Walk,M50kmWalk,MHighJump,MPoleVault,MLongJump,MTripleJump,MHammer,MShotput,MDiscus,MJavelin,MWeight,M50m,M55m,M60m,M100m,M200m,M300m,M400m,M500m,M600m,M800m,M1000m,M1500m,Mmile,M2km,M3km,M2Mile,M4km,M3Mile,M5km,M6km,M4Mile,M8km,M5Mile,M10km
55,0.8459,0.8459,0.8459,0.9085,0.7958,0.8025,0.8345,0.8346,0.8364,0.839,0.8428,0.8453,0.8515,0.8577,0.859,0.8638,0.8698,0.8816,0.8841,0.8931,1.2947,1.3628,1.3417,1.3009,1.2992,1.2736,1.0984,1.4059,1.2105,0.8549,0.8541,0.8544,0.8633,0.8325,0.838,0.8433,0.8409,0.8385,0.8336,0.8264,0.8395,0.8395,0.8395,0.8395,0.8395,0.8395,0.8395,0.8395,0.8395,0.8395,0.8395,0.8395,0.8395
56,0.8391,0.8391,0.8391,0.897,0.794,0.7959,0.8269,0.8271,0.8289,0.8315,0.8354,0.8379,0.8443,0.8505,0.8518,0.8566,0.8627,0.8746,0.8771,0.8862,1.3096,1.3844,1.3605,1.3198,1.3297,1.3025,1.126,1.4344,1.2324,0.8484,0.8492,0.8488,0.858,0.827,0.8324,0.838,0.8353,0.8325,0.827,0.8198,0.8324,0.8324,0.8324,0.8324,0.8324,0.8324,0.8324,0.8324,0.8324,0.8324,0.8324,0.8324,0.8324
57,0.8314,0.8314,0.8314,0.8855,0.7828,0.7895,0.8193,0.8195,0.8213,0.8239,0.8278,0.8304,0.8369,0.8432,0.8446,0.8494,0.8556,0.8675,0.8701,0.8793,1.3248,1.4067,1.3799,1.3394,1.3616,1.3325,1.1549,1.464,1.255,0.8432,0.8432,0.8431,0.8527,0.8215,0.8271,0.8326,0.8296,0.8266,0.8205,0.8131,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254
58,0.8249,0.8249,0.8249,0.8739,0.7719,0.7832,0.8116,0.8118,0.8136,0.8162,0.8202,0.8228,0.8293,0.8358,0.8372,0.8422,0.8484,0.8605,0.8632,0.8724,1.3405,1.4297,1.3998,1.3594,1.3952,1.364,1.1854,1.4949,1.2785,0.8381,0.8373,0.8375,0.8473,0.816,0.8217,0.8273,0.8239,0.8206,0.8139,0.8065,0.8184,0.8184,0.8184,0.8184,0.8184,0.8184,0.8184,0.8184,0.8184,0.8184,0.8184,0.8184,0.8184
59,0.8175,0.8175,0.8175,0.8624,0.7614,0.7769,0.8039,0.804,0.8058,0.8085,0.8124,0.8151,0.8216,0.8282,0.8296,0.8347,0.8411,0.8535,0.8562,0.8655,1.3564,1.4534,1.4203,1.3802,1.4304,1.397,1.2176,1.5271,1.3029,0.8318,0.8315,0.8318,0.842,0.8105,0.8161,0.8219,0.8183,0.8147,0.8074,0.7998,0.8113,0.8113,0.8113,0.8113,0.8113,0.8113,0.8113,0.8113,0.8113,0.8113,0.8113,0.8113,0.8113
60,0.843,0.843,0.843,0.9017,1.1056,1.2139,0.796,0.7962,0.798,0.8006,0.8046,0.8072,0.8138,0.8205,0.8219,0.8271,0.8336,0.8464,0.8491,0.8586,1.3728,1.478,1.4414,1.4015,1.4058,1.2703,1.1232,1.4804,1.1392,0.8256,0.8257,0.8262,0.8367,0.805,0.8108,0.8166,0.8127,0.8087,0.8008,0.7932,0.8043,0.8043,0.8043,0.8043,0.8043,0.8043,0.8043,0.8043,0.8043,0.8043,0.8043,0.8043,0.8043
61,0.8249,0.8249,0.8249,0.8879,1.0979,1.1862,0.7881,0.7882,0.7901,0.7927,0.7966,0.7993,0.8059,0.8126,0.814,0.8192,0.8259,0.839,0.8418,0.8516,1.3896,1.5034,1.4631,1.4233,1.4384,1.3061,1.1467,1.5114,1.1617,0.8207,0.8212,0.8209,0.8317,0.7999,0.8058,0.8116,0.8074,0.8032,0.7947,0.7871,0.7972,0.7972,0.7972,0.7972,0.7972,0.7972,0.7972,0.7972,0.7972,0.7972,0.7972,0.7972,0.7972
62,0.8075,0.8075,0.8075,0.8741,1.0899,1.1599,0.7801,0.7802,0.782,0.7846,0.7885,0.7912,0.7978,0.8045,0.806,0.8112,0.818,0.8313,0.8342,0.8443,1.4068,1.5297,1.4855,1.4458,1.4725,1.3439,1.1712,1.5437,1.1852,0.8159,0.8156,0.8156,0.8267,0.7947,0.8006,0.8066,0.8021,0.7977,0.7887,0.781,0.7902,0.7902,0.7902,0.7902,0.7902,0.7902,0.7902,0.7902,0.7902,0.7902,0.7902,0.7902,0.7902
63,0.7909,0.7909,0.7909,0.8602,1.0824,1.1346,0.772,0.7722,0.7739,0.7765,0.7804,0.783,0.7896,0.7963,0.7978,0.8031,0.8098,0.8234,0.8263,0.8367,1.4244,1.5569,1.5086,1.469,1.5083,1.3841,1.1968,1.5775,1.2096,0.8099,0.81,0.8104,0.8217,0.7896,0.7955,0.8016,0.7968,0.7921,0.7826,0.7748,0.7832,0.7832,0.7832,0.7832,0.7832,0.7832,0.7832,0.7832,0.7832,0.7832,0.7832,0.7832,0.7832
64,0.7758,0.7758,0.7758,0.8464,1.0627,1.1106,0.7639,0.764,0.7658,0.7683,0.7721,0.7747,0.7812,0.7879,0.7894,0.7947,0.8015,0.8152,0.8182,0.8288,1.4425,1.5851,1.5324,1.493,1.5458,1.4266,1.2235,1.6128,1.235,0.8052,0.8046,0.8051,0.8167,0.7844,0.7905,0.7966,0.7916,0.7866,0.7766,0.7687,0.7761,0.7761,0.7761,0.7761,0.7761,0.7761,0.7761,0.7761,0.7761,0.7761,0.7761,0.7761,0.7761
65,0.7604,0.7604,0.7604,0.8326,1.0435,1.0875,0.7557,0.7558,0.7575,0.76,0.7637,0.7663,0.7728,0.7794,0.7809,0.7861,0.793,0.8068,0.8099,0.8206,1.461,1.6144,1.557,1.5178,1.5853,1.4719,1.2514,1.6496,1.2615,0.7994,0.8003,0.7998,0.8117,0.7793,0.7855,0.7916,0.7863,0.7811,0.7705,0.7626,0.7691,0.7691,0.7691,0.7691,0.7691,0.7691,0.7691,0.7691,0.7691,0.7691,0.7691,0.7691,0.7691
66,0.7457,0.7457,0.7457,0.8208,1.0252,1.0653,0.7474,0.7475,0.7492,0.7516,0.7552,0.7577,0.7641,0.7707,0.7722,0.7774,0.7842,0.7981,0.8012,0.8122,1.48,1.6448,1.5824,1.5434,1.6268,1.5202,1.2806,1.6881,1.2892,0.7948,0.7949,0.7949,0.807,0.7732,0.7766,0.7797,0.7754,0.7711,0.7624,0.7554,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762
67,0.7315,0.7315,0.7315,0.8089,1.0075,1.044,0.739,0.7391,0.7407,0.7431,0.7467,0.7491,0.7554,0.7618,0.7633,0.7685,0.7753,0.7892,0.7923,0.8034,1.4995,1.6763,1.6087,1.5699,1.6706,1.5719,1.3112,1.7286,1.3181,0.7903,0.7897,0.7899,0.8023,0.7671,0.7675,0.7677,0.7644,0.761,0.7543,0.7483,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755,0.755
68,0.7185,0.7185,0.7185,0.7971,0.9903,1.0236,0.7306,0.7307,0.7322,0.7345,0.738,0.7403,0.7465,0.7528,0.7542,0.7594,0.7661,0.7801,0.7832,0.7943,1.5196,1.7091,1.6358,1.5974,1.7168,1.6271,1.3432,1.771,1.3483,0.7847,0.7845,0.785,0.7975,0.761,0.7583,0.7558,0.7534,0.751,0.7462,0.7411,0.7479,0.7479,0.7479,0.7479,0.7479,0.7479,0.7479,0.7479,0.7479,0.7479,0.7479,0.7479,0.7479
69,0.7053,0.7053,0.7053,0.7852,0.9738,1.0039,0.722,0.7222,0.7236,0.7258,0.7292,0.7315,0.7374,0.7437,0.7451,0.7501,0.7568,0.7706,0.7738,0.785,1.5402,1.7431,1.6639,1.6258,1.7656,1.6864,1.377,1.8155,1.3799,0.7803,0.7804,0.78,0.7928,0.7549,0.7494,0.7438,0.7424,0.741,0.7381,0.734,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402
70,0.7381,0.7381,0.7381,0.9938,0.9945,0.985,0.7134,0.7136,0.715,0.717,0.7203,0.7225,0.7283,0.7343,0.7357,0.7407,0.7472,0.761,0.7641,0.7753,1.5613,1.7786,1.6929,1.6552,1.6112,1.3017,1.4127,1.7461,1.2943,0.7748,0.7753,0.7751,0.7881,0.7488,0.7404,0.7319,0.7314,0.731,0.73,0.7268,0.7319,0.7319,0.7319,0.7319,0.7319,0.7319,0.7319,0.7319,0.7319,0.7319,0.7319,0.7319,0.7319
71,0.7359,0.7359,0.7359,0.9838,0.9724,0.9668,0.7048,0.7049,0.7062,0.7082,0.7113,0.7134,0.7189,0.7248,0.7262,0.731,0.7375,0.7511,0.7542,0.7654,1.583,1.8155,1.7229,1.6857,1.6578,1.3377,1.45,1.7932,1.3266,0.7694,0.7693,0.7696,0.7788,0.7375,0.728,0.7184,0.7186,0.7188,0.7191,0.7159,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723,0.723
72,0.7329,0.7329,0.7329,0.9738,0.9512,0.9493,0.696,0.6961,0.6974,0.6992,0.7021,0.7042,0.7095,0.7152,0.7165,0.7212,0.7275,0.7409,0.744,0.7551,1.6054,1.854,1.7541,1.7174,1.7072,1.3758,1.4893,1.8428,1.3605,0.7641,0.7644,0.764,0.7695,0.7263,0.7156,0.7049,0.7057,0.7066,0.7082,0.705,0.7134,0.7134,0.7134,0.7134,0.7134,0.7134,0.7134,0.7134,0.7134,0.7134,0.7134,0.7134,0.7134
73,0.7307,0.7307,0.7307,0.9637,0.9309,0.9323,0.6872,0.6873,0.6885,0.6902,0.6929,0.6948,0.6999,0.7054,0.7066,0.7112,0.7173,0.7305,0.7335,0.7446,1.6283,1.8942,1.7863,1.7502,1.7597,1.4161,1.5309,1.8953,1.3962,0.7589,0.7586,0.7585,0.7603,0.715,0.7032,0.6913,0.6928,0.6943,0.6972,0.6941,0.7031,0.7031,0.7031,0.7031,0.7031,0.7031,0.7031,0.7031,0.7031,0.7031,0.7031,0.7031,0.7031
74,0.7285,0.7285,0.7285,0.9537,0.9115,0.916,0.6783,0.6784,0.6795,0.6811,0.6836,0.6854,0.6902,0.6954,0.6966,0.701,0.7069,0.7198,0.7228,0.7338,1.652,1.9362,1.8198,1.7844,1.8155,1.4589,1.5748,1.9509,1.4338,0.7527,0.7528,0.7529,0.751,0.7038,0.6908,0.6778,0.6799,0.6821,0.6863,0.6832,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923
75,0.7256,0.7256,0.7256,0.9437,0.8931,0.9002,0.6693,0.6694,0.6704,0.6718,0.6742,0.6758,0.6803,0.6853,0.6864,0.6906,0.6964,0.7089,0.7118,0.7226,1.6763,1.98,1.8546,1.8199,1.8749,1.5043,1.6217,2.0098,1.4735,0.7476,0.7472,0.7474,0.7417,0.6925,0.6784,0.6643,0.6671,0.6699,0.6754,0.6723,0.6808,0.6808,0.6808,0.6808,0.6808,0.6808,0.6808,0.6808,0.6808,0.6808,0.6808,0.6808,0.6808
76,0.7235,0.7235,0.7235,0.9237,0.8752,0.885,0.6603,0.6604,0.6612,0.6625,0.6647,0.6662,0.6703,0.675,0.6761,0.6801,0.6856,0.6977,0.7006,0.7112,1.7014,2.0259,1.8907,1.8569,1.9384,1.5526,1.6711,2.0724,1.5155,0.7397,0.7398,0.7399,0.7312,0.6811,0.6671,0.6531,0.6559,0.6588,0.6644,0.6622,0.6687,0.6687,0.6687,0.6687,0.6687,0.6687,0.6687,0.6687,0.6687,0.6687,0.6687,0.6687,0.6687
77,0.6913,0.6913,0.6913,0.9037,0.858,0.8702,0.6512,0.6512,0.652,0.6531,0.655,0.6564,0.6602,0.6645,0.6655,0.6693,0.6746,0.6863,0.6891,0.6995,1.7272,2.0739,1.9283,1.8953,2.0063,1.604,1.7236,2.139,1.5599,0.7328,0.7325,0.7324,0.7208,0.6697,0.6557,0.6419,0.6448,0.6477,0.6534,0.6521,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559
78,0.6612,0.6612,0.6612,0.8838,0.8415,0.856,0.642,0.642,0.6426,0.6436,0.6453,0.6465,0.6499,0.6539,0.6549,0.6584,0.6634,0.6746,0.6773,0.6875,1.7539,2.1243,1.9674,1.9355,2.0791,1.659,1.7795,2.2101,1.607,0.7251,0.7254,0.725,0.7103,0.6583,0.6445,0.6306,0.6335,0.6365,0.6423,0.642,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425
79,0.6342,0.6342,0.6342,0.8638,0.8256,0.8422,0.6327,0.6327,0.6332,0.634,0.6354,0.6365,0.6395,0.6432,0.644,0.6473,0.652,0.6627,0.6653,0.6751,1.7813,2.1771,2.0082,1.9773,2.1575,1.718,1.8391,2.286,1.6571,0.7176,0.7175,0.7175,0.6999,0.6469,0.6332,0.6194,0.6224,0.6254,0.6313,0.6319,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285
80,0.6266,0.6266,0.6266,0.8607,0.8103,0.8288,0.6234,0.6234,0.6237,0.6244,0.6255,0.6264,0.629,0.6322,0.633,0.636,0.6404,0.6505,0.653,0.6625,1.8097,2.2327,2.0506,2.021,2.2417,1.7816,1.9033,2.0612,1.573,0.7103,0.7099,0.71,0.6894,0.6355,0.6219,0.6082,0.6112,0.6143,0.6203,0.6218,0.6138,0.6138,0.6138,0.6138,0.6138,0.6138,0.6138,0.6138,0.6138,0.6138,0.6138,0.6138,0.6138
81,0.6003,0.6003,0.6003,0.8361,0.7958,0.8066,0.6139,0.6139,0.6142,0.6146,0.6154,0.6161,0.6183,0.6211,0.6218,0.6246,0.6286,0.6381,0.6405,0.6496,1.8389,2.2912,2.1051,2.0667,2.333,1.8498,1.9718,2.1526,1.6238,0.7013,0.7007,0.7011,0.6778,0.622,0.607,0.5919,0.5949,0.5979,0.6038,0.606,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985
82,0.5762,0.5762,0.5762,0.8115,0.7818,0.7856,0.6044,0.6044,0.6045,0.6047,0.6053,0.6058,0.6075,0.6099,0.6105,0.6129,0.6165,0.6255,0.6277,0.6364,1.8691,2.3529,2.1625,2.1144,2.432,1.9234,2.0454,2.2524,1.678,0.6925,0.6926,0.6922,0.6663,0.6086,0.5921,0.5756,0.5785,0.5815,0.5873,0.5901,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825
83,0.5534,0.5534,0.5534,0.7869,0.7683,0.7657,0.5949,0.5948,0.5948,0.5948,0.595,0.5953,0.5966,0.5985,0.599,0.6011,0.6043,0.6125,0.6146,0.6229,1.9003,2.4179,2.2232,2.1645,2.5399,2.0032,2.1247,2.362,1.736,0.6831,0.6831,0.6834,0.6547,0.5951,0.5771,0.5592,0.5621,0.565,0.5708,0.5743,0.566,0.566,0.566,0.566,0.566,0.566,0.566,0.566,0.566,0.566,0.566,0.566,0.566
84,0.5328,0.5328,0.5328,0.7623,0.7551,0.7467,0.5852,0.5852,0.585,0.5847,0.5846,0.5847,0.5855,0.5869,0.5873,0.5891,0.5919,0.5994,0.6013,0.6091,1.9326,2.4867,2.2873,2.2169,2.6577,2.0898,2.2105,2.4827,1.7981,0.6748,0.6746,0.6745,0.6432,0.5817,0.5623,0.5429,0.5458,0.5486,0.5543,0.5584,0.5488,0.5488,0.5488,0.5488,0.5488,0.5488,0.5488,0.5488,0.5488,0.5488,0.5488,0.5488,0.5488
85,0.5137,0.5137,0.5137,0.7377,0.7425,0.7287,0.5755,0.5755,0.5751,0.5746,0.5742,0.574,0.5742,0.5752,0.5755,0.5769,0.5792,0.5859,0.5877,0.595,1.966,2.5595,2.3553,2.272,2.787,2.1843,2.3034,2.6164,1.8648,0.6659,0.6656,0.6656,0.6316,0.5682,0.5474,0.5266,0.5294,0.5322,0.5378,0.5426,0.5309,0.5309,0.5309,0.5309,0.5309,0.5309,0.5309,0.5309,0.5309,0.5309,0.5309,0.5309,0.5309
86,0.4876,0.4876,0.4876,0.7131,0.7045,0.7007,0.5657,0.5656,0.5651,0.5644,0.5636,0.5632,0.5629,0.5633,0.5635,0.5645,0.5664,0.5723,0.5739,0.5806,2.0099,2.6476,2.467,2.3569,2.9295,2.2877,2.4045,2.7654,1.9366,0.6464,0.6468,0.6466,0.6205,0.5488,0.5287,0.5085,0.5104,0.5122,0.5159,0.521,0.5124,0.5124,0.5124,0.5124,0.5124,0.5124,0.5124,0.5124,0.5124,0.5124,0.5124,0.5124,0.5124
87,0.4641,0.4641,0.4641,0.6885,0.6702,0.6747,0.5558,0.5558,0.555,0.5541,0.5529,0.5523,0.5514,0.5513,0.5514,0.5519,0.5534,0.5583,0.5598,0.566,2.0559,2.7419,2.5897,2.4484,3.0874,2.4014,2.5148,2.9324,2.0143,0.6274,0.6278,0.6276,0.6093,0.5294,0.5099,0.4904,0.4913,0.4922,0.494,0.4993,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933
88,0.443,0.443,0.443,0.664,0.6391,0.6506,0.5459,0.5458,0.5449,0.5437,0.5421,0.5413,0.5398,0.5391,0.539,0.5392,0.5401,0.5442,0.5454,0.551,2.104,2.8432,2.7253,2.5473,3.2632,2.527,2.6357,3.1208,2.0983,0.6088,0.6086,0.6085,0.5982,0.51,0.4912,0.4724,0.4724,0.4723,0.4722,0.4777,0.4735,0.4735,0.4735,0.4735,0.4735,0.4735,0.4735,0.4735,0.4735,0.4735,0.4735,0.4735,0.4735
89,0.4234,0.4234,0.4234,0.6394,0.6107,0.6281,0.5358,0.5357,0.5346,0.5332,0.5312,0.5301,0.528,0.5267,0.5265,0.5263,0.5267,0.5297,0.5308,0.5357,2.1543,2.9522,2.876,2.6545,3.4604,2.6665,2.7689,3.3352,2.1898,0.5894,0.5893,0.5895,0.587,0.4906,0.4725,0.4543,0.4533,0.4523,0.4503,0.456,0.4531,0.4531,0.4531,0.4531,0.4531,0.4531,0.4531,0.4531,0.4531,0.4531,0.4531,0.4531,0.4531
90,0.4056,0.4056,0.4056,0.6148,0.5847,0.6072,0.5257,0.5256,0.5243,0.5226,0.5202,0.5189,0.5161,0.5142,0.5139,0.5132,0.513,0.5151,0.5159,0.5201,2.2072,3.07,3.0442,2.7712,3.6828,2.8222,2.9162,3.5811,2.2895,0.5705,0.5707,0.5705,0.5759,0.4712,0.4537,0.4362,0.4343,0.4323,0.4284,0.4344,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321
91,0.3842,0.3842,0.3842,0.5875,0.5439,0.5748,0.5156,0.5154,0.5139,0.5119,0.5091,0.5075,0.504,0.5015,0.5011,0.4999,0.4991,0.5001,0.5008,0.5043,2.2854,3.2316,3.2664,2.9595,3.9358,2.9972,3.0801,3.8662,2.3988,0.5405,0.5403,0.5405,0.5592,0.4527,0.4327,0.4127,0.4111,0.4096,0.4064,0.4112,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104
92,0.365,0.365,0.365,0.5601,0.5085,0.5456,0.5053,0.5052,0.5035,0.5011,0.4979,0.496,0.4919,0.4887,0.4881,0.4864,0.4851,0.485,0.4854,0.4881,2.3694,3.4111,3.5236,3.1753,4.2261,3.1954,3.2636,4.2006,2.519,0.5106,0.5107,0.5105,0.5425,0.4342,0.4117,0.3891,0.3879,0.3868,0.3844,0.3879,0.3881,0.3881,0.3881,0.3881,0.3881,0.3881,0.3881,0.3881,0.3881,0.3881,0.3881,0.3881,0.3881
93,0.3476,0.3476,0.3476,0.5328,0.4773,0.5193,0.495,0.4948,0.4929,0.4903,0.4866,0.4844,0.4795,0.4757,0.475,0.4728,0.4708,0.4695,0.4697,0.4716,2.4598,3.6117,3.8248,3.4251,4.5627,3.4217,3.4702,4.5983,2.6519,0.4805,0.4803,0.4804,0.5259,0.4158,0.3907,0.3656,0.3648,0.364,0.3624,0.3647,0.3652,0.3652,0.3652,0.3652,0.3652,0.3652,0.3652,0.3652,0.3652,0.3652,0.3652,0.3652,0.3652
94,0.3318,0.3318,0.3318,0.5054,0.4499,0.4954,0.4846,0.4844,0.4823,0.4793,0.4752,0.4727,0.4671,0.4625,0.4616,0.4589,0.4563,0.4539,0.4538,0.4549,2.5574,3.8375,4.1822,3.7174,4.9576,3.6824,3.7049,5.0792,2.7996,0.4504,0.4506,0.4504,0.5092,0.3973,0.3697,0.342,0.3416,0.3412,0.3404,0.3414,0.3416,0.3416,0.3416,0.3416,0.3416,0.3416,0.3416,0.3416,0.3416,0.3416,0.3416,0.3416,0.3416
95,0.3174,0.3174,0.3174,0.4781,0.4253,0.4736,0.4741,0.4739,0.4715,0.4683,0.4637,0.4608,0.4545,0.4492,0.4482,0.4449,0.4416,0.4379,0.4376,0.4378,2.663,4.0933,4.6134,4.0644,5.4272,3.9862,3.9735,5.6724,2.9647,0.4203,0.4204,0.4204,0.4925,0.3788,0.3487,0.3185,0.3185,0.3185,0.3184,0.3182,0.3174,0.3174,0.3174,0.3174,0.3174,0.3174,0.3174,0.3174,0.3174,0.3174,0.3174,0.3174,0.3174
96,0.2987,0.2987,0.2987,0.447,0.3692,0.4504,0.4636,0.4634,0.4607,0.4571,0.4521,0.4489,0.4418,0.4357,0.4345,0.4307,0.4268,0.4217,0.4212,0.4205,2.7968,4.3857,5.2585,4.6897,5.9952,4.3446,4.2841,6.4226,3.1505,0.3847,0.3847,0.3847,0.4423,0.3514,0.3273,0.3031,0.3031,0.3031,0.3031,0.3029,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926
97,0.2821,0.2821,0.2821,0.416,0.3262,0.4293,0.4529,0.4527,0.4499,0.4459,0.4403,0.4368,0.4289,0.4221,0.4207,0.4164,0.4117,0.4053,0.4045,0.4028,2.9447,4.7231,6.1134,5.5424,6.6959,4.7738,4.6474,7.4014,3.3612,0.3489,0.3489,0.3489,0.3922,0.324,0.3059,0.2878,0.2878,0.2878,0.2877,0.2876,0.2671,0.2671,0.2671,0.2671,0.2671,0.2671,0.2671,0.2671,0.2671,0.2671,0.2671,0.2671,0.2671
98,0.2672,0.2672,0.2672,0.3849,0.2921,0.4101,0.4422,0.442,0.4389,0.4346,0.4285,0.4247,0.4159,0.4083,0.4068,0.4018,0.3964,0.3886,0.3875,0.3849,3.1091,5.1166,7.3002,6.774,7.5821,5.2972,5.0781,8.7322,3.6022,0.3132,0.3132,0.3132,0.342,0.2965,0.2845,0.2724,0.2724,0.2724,0.2724,0.2723,0.2409,0.2409,0.2409,0.2409,0.2409,0.2409,0.2409,0.2409,0.2409,0.2409,0.2409,0.2409,0.2409
99,0.2538,0.2538,0.2538,0.3539,0.2645,0.3926,0.4315,0.4312,0.4278,0.4232,0.4165,0.4124,0.4028,0.3943,0.3926,0.387,0.3809,0.3717,0.3703,0.3666,3.293,5.5818,9.0587,8.7095,8.7387,5.9494,5.5967,10.6465,3.8803,0.2774,0.2774,0.2774,0.2919,0.2691,0.2631,0.2571,0.2571,0.2571,0.257,0.257,0.2142,0.2142,0.2142,0.2142,0.2142,0.2142,0.2142,0.2142,0.2142,0.2142,0.2142,0.2142,0.2142
100,0.2417,0.2417,0.2417,0.3228,0.2417,0.3765,0.4206,0.4203,0.4167,0.4117,0.4045,0.4,0.3895,0.3802,0.3783,0.3721,0.3652,0.3545,0.3528,0.3481,3.5,6.14,11.9333,12.1933,10.3117,6.7847,6.2333,13.6357,4.2049,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868
